Term,es,nes,pval,fdr,geneset_size,matched_size,genes
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.623705686,2.93013111,0,0,200,104,"ALAS1,MTRF1,ACADVL,NDUFA1,COX7A2L,SLC25A20,ECI1,NDUFC2,SLC25A3,ACAA2,ACADSB,UQCR10,COX7A2,CYB5A,ACAT1,NDUFB3,NDUFA9,NDUFA7,RETSAT,ATP5F1C,COX6A1,VDAC3,NDUFB5,ATP5MG,DECR1,PRDX3,ATP5MF,PHYH,NDUFB8,NDUFA6,FDX1,PHB2,ALDH6A1,ECHS1,NDUFS4,OAT,NDUFS2,COX7C,HADHB,ATP5ME,TCIRG1,COX4I1,ATP5PO,COX5B,VDAC1,ATP5PB,NDUFS1,ACAA1,NDUFA4,HADHA,SLC25A4,NDUFV2,SLC25A6,LRPPRC,NDUFA5,COX6C,SUCLA2,SURF1,ATP5PD,UQCRC2,SUCLG1,NDUFS3,NDUFV1,NDUFS6,POR,ATP6AP1,IDH3G,NDUFA2,RHOT1,NDUFB4,PDHB,GLUD1,ETFB,COX5A,HSPA9,ATP5F1A,COX8A,OGDH,MTX2,ETFDH,ATP5F1B,DLD,NDUFB7,SLC25A5,ATP5PF,SDHA,AIFM1,RHOT2,NDUFS7,UQCRC1,OPA1,PDHA1,ATP5F1D,TOMM70,NDUFS8,MRPS22,POLR2F,SUPV3L1,FXN,ABCB7,NNT,HTRA2,GPX4,GPI"
HALLMARK_MYOGENESIS,0.511058604,2.058242704,0,0,200,51,"PGAM2,TNNI2,TNNC2,PVALB,CSRP3,CKMT2,MYH7,TNNT3,ANKRD2,PTGIS,ITGB4,TPD52L1,ITGB1,FABP3,HSPB8,COL4A2,MYO1C,GAA,COL6A3,SORBS3,SYNGR2,CRAT,APP,ATP6AP1,MYLK,RB1,AGL,PDE4DIP,PFKM,GABARAPL2,FDPS,RYR1,TGFB1,TPM3,CNN3,SMTN,MEF2D,MYL6B,ITGB5,PRNP,AK1,NCAM1,GNAO1,MEF2C,LAMA2,CKB,TAGLN,MEF2A,SOD3,LSP1,COL3A1"
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.538640468,1.97753457,0,0,200,35,"KRT8,KRT18,PRSS23,PDZK1,CCND1,BCL11B,LAD1,RHOD,CLIC3,TPD52L1,MUC1,CLDN7,GJA1,HSPB8,B4GALT1,FARP1,BLVRB,SLC7A5,CA12,ZNF185,ENDOD1,SCARB1,NCOR2,SFN,AMFR,WWC1,FKBP4,MED24,TPBG,FKBP5,UNC119,MAPT,DHRS2,CBFA2T3,AR"
HALLMARK_XENOBIOTIC_METABOLISM,0.446394382,1.772328592,0,0.050649351,200,48,"HNF4A,ADH1C,TMEM176B,ALAS1,ENPEP,FBP1,ADH7,ABCC2,TGFB2,CA2,TMBIM6,PROS1,AKR1C3,ARG2,EPHX1,BLVRB,HMOX1,MCCC2,ACP2,CYB5A,ACOX1,RETSAT,PGRMC1,SLC1A5,POR,SSR3,ETFDH,LONP1,KARS1,CASP6,AHCY,GART,PDLIM5,MTHFD1,DDAH2,ACP1,ARPP19,DHPS,DDT,PTGES3,HPRT1,VTN,TKFC,DDC,MPP2,UPP1,HSD17B2,F10"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.405971605,1.741475341,0,0.048623377,200,58,"FBN2,NID2,CDH11,SLIT2,SPP1,CCN2,LUM,IGFBP2,MEST,ITGB3,COL1A2,ITGB1,BASP1,LOX,MMP2,LOXL2,NNMT,GJA1,COL4A2,FSTL1,LRP1,ITGAV,TIMP1,COL6A3,PPIB,SCG2,MYLK,DST,PLOD3,TNC,TPM4,THBS1,ITGA2,CDH2,JUN,TGFB1,LAMA1,ENO2,COL5A2,ITGB5,PDLIM4,ITGA5,CALD1,LAMA3,SERPINE2,NT5E,PLOD2,LGALS1,MCM7,ANPEP,LAMA2,VIM,TAGLN,NTM,CRLF1,LOXL1,TGFBR3,COL3A1"
HALLMARK_ESTROGEN_RESPONSE_LATE,0.392980499,1.563647009,0,0.126060606,200,52,"SERPINA5,S100A9,PRSS23,PCP4,PDZK1,CCND1,AGR2,MEST,ST14,CLIC3,MDK,TPD52L1,CA2,HSPB8,CDH1,FARP1,BLVRB,SLC7A5,CA12,CD9,TST,SCARB1,COX6C,ETFB,NCOR2,HSPA4L,SFN,RNASEH2A,AMFR,GINS2,MOCS2,SORD,TRIM29,RABEP1,FKBP4,KIF20A,METTL3,TOP2A,GALE,TPBG,FKBP5,HPRT1,CACNA2D2,PDCD4,PTPN6,MAPT,CKB,ASS1,DHRS2,FABP5,NAB2,CYP4F11"
HALLMARK_APOPTOSIS,0.38328867,1.551667527,0.024390244,0.119628942,161,47,"CDKN1B,GSTM1,KRT18,LUM,CCND1,PLCB2,TGFB2,FDXR,PPP3R1,MMP2,SOD2,HMOX1,TIMP1,IGF2R,TAP1,RETSAT,MCL1,BCL10,DNAJC3,BCL2L1,BCAP31,APP,DAP3,RHOT2,BID,CASP6,ROCK1,TXNIP,RELA,DNAJA1,GPX4,DNM1L,PAK1,SLC20A1,TOP2A,JUN,ANKH,MADD,ENO2,PEA15,CDK2,ADD1,DFFA,PDCD4,HMGB2,TGFBR3,SATB1"
HALLMARK_KRAS_SIGNALING_DN,0.438848747,1.450593776,0.071428571,0.222857143,200,26,"LFNG,SPRR3,PNMT,MYH7,ATP6V1B1,AKR1B10,IGFBP2,TGFB2,MFSD6,GPRC5C,CAMK1D,HNF1A,PTPRJ,SERPINA10,GTF3C5,SLC16A7,GAMT,KMT2D,RYR1,BARD1,PKP1,IFI44L,SERPINB2,PRODH,CALML5,SNCB"
HALLMARK_ADIPOGENESIS,0.314032101,1.411502712,0.071428571,0.241616162,200,66,"LAMA4,SOWAHC,SLC5A6,CAVIN2,GHITM,HSPB8,ACADS,GPAT4,TANK,SCP2,TST,REEP6,ACAA2,CPT2,UQCR10,ACOX1,RETSAT,COX6A1,ME1,DECR1,PRDX3,PHYH,ECHS1,REEP5,ATP5PO,SCARB1,CRAT,SLC25A10,SLC1A5,NDUFA5,MTCH2,BCL2L13,SUCLG1,NDUFS3,POR,IDH3G,ETFB,COX8A,DLD,NDUFB7,ESYT1,AIFM1,UQCRC1,PTCD3,G3BP2,ATL2,YWHAG,MYLK,TALDO1,QDPR,APLP2,UBQLN1,CMPK1,GPX4,PLIN2,PPM1B,SLC19A1,ACLY,DDT,EPHX2,PDCD4,GPHN,ACADL,CAVIN1,STAT5A,LIFR"
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.44203918,1.360900677,0.127659574,0.276883117,87,16,"IFNAR1,ITGB3,CD9,HMOX1,PIM1,A2M,CRLF2,STAM2,PTPN1,STAT3,GRB2,HAX1,CBL,JUN,TGFB1,PTPN11"
HALLMARK_HYPOXIA,0.320483216,1.292930456,0.204545455,0.347485242,200,54,"PGAM2,CDKN1B,CCN2,FBP1,S100A4,F3,LOX,PAM,CA12,NDRG1,GAA,HMOX1,PIM1,PRDX5,HEXA,VLDLR,ILVBL,SCARB1,B3GALT6,ERO1A,HSPA5,HK2,CASP6,UGP2,TPI1,AKAP12,SAP30,HAS1,DPYSL4,HK1,ANKZF1,TPD52,PLIN2,GPI,PKLR,ENO1,PGK1,IRS2,RBPJ,JUN,TPBG,ENO2,FOSL2,ALDOC,PDK3,NEDD4L,PNRC1,PKP1,EFNA1,CSRP2,CAVIN1,SELENBP1,MAFF,GAPDHS"
HALLMARK_PROTEIN_SECRETION,0.356301862,1.290002688,0.195121951,0.324155844,96,40,"ATP6V1B1,KRT18,TMED2,PAM,CTSC,ADAM10,CLN5,TMED10,IGF2R,LAMP2,SEC24D,RAB5A,SCAMP1,ERGIC3,YIPF6,GOSR2,AP2B1,NAPA,M6PR,STX7,AP2S1,CLTC,LMAN1,GBF1,YKT6,COPE,SNAP23,TSG101,NAPG,ARFGAP3,STAM,VPS4B,SNX2,DST,TPD52,DNM1L,OCRL,MAPK1,SCRN1,ANP32E"
HALLMARK_UV_RESPONSE_DN,0.326022031,1.265382207,0.204545455,0.335584416,144,35,"CDKN1B,F3,KIT,RXRA,ITGB3,COL1A2,ANXA4,GJA1,RND3,SMAD3,RBPMS,MET,VLDLR,LDLR,NEK7,ATP2C1,ABCC1,DLG1,CDC42BPA,SYNE1,NIPBL,MAPK14,SCAF8,MIOS,PDLIM5,CDON,MTA1,COL5A2,TGFBR2,NFIB,RUNX1,INPP4B,SIPA1L1,TGFBR3,COL3A1"
HALLMARK_COMPLEMENT,0.317662414,1.197813825,0.2,0.424489796,200,43,"HNF4A,S100A9,F3,DOCK10,SCG3,CA2,CTSD,COL4A2,LRP1,CD55,CTSC,TIMP1,PIM1,LIPA,LAMP2,ME1,FDX1,PRCP,STX4,HSPA5,USP15,KIF2A,PREP,PPP4C,VCPIP1,GRB2,DOCK9,SRC,USP16,PPP2CB,USP8,F5,PLSCR1,USP14,AKAP10,GMFB,CSRP1,PCLO,ATOX1,SERPINB2,MAFF,GNG2,F10"
HALLMARK_INFLAMMATORY_RESPONSE,0.355914612,1.167367535,0.285714286,0.447515152,200,20,"IFNAR1,F3,ITGB3,AHR,CD55,NMI,TIMP1,MET,LDLR,ATP2C1,TAPBP,VIP,RELA,ADRM1,TPBG,ITGA5,NAMPT,IRAK2,IL2RB,CYBB"
