Term,es,nes,pval,fdr,geneset_size,matched_size,genes
HALLMARK_BILE_ACID_METABOLISM,0.5370097046195391,1.8302646078176268,0,0.022549326652051366,112,74,"HSD3B1,ABCA5,ALDH1A1,PEX11A,ALDH8A1,PNPLA8,ABCA3,APOA1,ABCA8,PECR,GNPAT,ABCA1,ABCD1,EPHX2,FDXR,PXMP2,GCLM,PEX26,ATXN1,GSTK1,HSD17B11,NUDT12,SLC22A18,NPC1,CROT,LIPE,NEDD4,PHYH,PEX13,PFKM,HSD17B4,PEX7,IDH1,IDH2,OPTN,MLYCD,PEX6,AMACR,SCP2,NR3C2,CAT,PEX1,AR,ALDH9A1,SLC35B2,PEX16,PRDX5,ISOC1,PEX12,ABCD3,CYP39A1,SLC29A1,RXRA,BCAR3,FADS1,ABCA2,RBP1,HACL1,IDI1,SOD1,SLC23A2,PEX19,DHCR24,RETSAT,TTR,LONP2,ACSL1,FADS2,GC,SLC27A2,SULT1B1,EFHC1,CYP7B1,ACSL5"
HALLMARK_XENOBIOTIC_METABOLISM,0.4392266965625912,1.5743712668782077,0,0.1522079549013467,200,139,"PTGES,CYP1A2,ITIH4,PLG,MAOA,ENPEP,IL1R1,NQO1,CYFIP2,BLVRB,KYNU,CDO1,TTPA,ARPP19,GSTT2,MARCHF6,ACO2,SLC35D1,AKR1C3,PMM1,DHRS1,SLC35B1,ETFDH,XDH,PAPSS2,TMBIM6,SLC6A6,DHRS7,UGDH,COMT,SERPINE1,LPIN2,IGFBP4,HGFAC,FAS,NPC1,BPHL,CROT,ID2,BCAT1,GCLC,APOE,GSTO1,TMEM97,DDAH2,TPST1,VTN,ETS2,IDH1,PSMB10,GSR,AOX1,AKR1C2,ASL,PGD,ACOX1,CAT,JUP,CYP2J2,PPARD,ATP2A2,ALDH9A1,PC,NINJ1,ABCC3,SLC12A4,ADH5,NFS1,SLC1A5,PEMT,NDRG2,AHCY,ALAS1,PYCR1,EPHX1,VNN1,CNDP2,EPHA2,UPP1,FAH,MCCC2,ECH1,GSTM4,MPP2,SAR1B,ACP2,SSR3,MTHFD1,HMOX1,TNFRSF1A,CBR1,CYB5A,DHPS,ELOVL5,ARG1,BCAR1,NMT1,CA2,HACL1,AP4B1,GCNT2,ENTPD5,PTS,HRG,GSS,PTGES3,ABHD6,DDT,CYP2S1,ALDH3A1,KARS1,ACOX3,CASP6,PTGR1,FBLN1,LONP1,RETSAT,TKFC,GART,PDLIM5,ALDH2,IRF8,HPRT1,PDK4,GCH1,SPINT2,ACP1,POR,PGRMC1,DCXR,MAN1A1,TGFB2,MT2A,PROS1,SLC46A3,SHMT2,CDA,ARG2,FMO3"
HALLMARK_UV_RESPONSE_DN,0.3904447216992205,1.4789711220183737,0.017241379310344827,0.22925148762918887,144,132,"BDNF,HAS2,KIT,DUSP1,CDON,TGFBR3,F3,MGMT,GJA1,ITGB3,BHLHE40,TGFBR2,RASA2,SYNE1,MGLL,BMPR1A,CAV1,AMPH,LPAR1,ANXA4,PLPP3,NEK7,AKT3,FBLN5,MMP16,IGFBP5,CDC42BPA,VLDLR,ATXN1,CCN1,CAP2,ACVR2A,BCKDHB,SERPINE1,PIK3R3,KCNMA1,FYN,SLC22A18,TFPI,LAMC1,PIK3CD,WDR37,DAB2,NR3C1,PTPN21,RGS4,APBB2,RND3,PTPRM,IGF1R,SIPA1L1,ATP2B4,PRKAR2B,PEX14,NFKB1,MET,MAP2K5,ADGRL2,LTBP1,DDAH1,GRK5,PRKCA,FHL2,MAP1B,TJP1,CDKN1B,PRKCE,DLC1,VAV2,TENT4A,ADD3,ICA1,SLC7A1,SYNJ2,INPP4B,MAPK14,SRI,NRP1,NIPBL,ADORA2B,PTEN,ANXA2,MIOS,RXRA,SPOP,IRS1,PIAS3,DYRK1A,ATRN,NOTCH2,ATP2C1,NFIB,PLCB4,MYC,ABCC1,ZMIZ1,SMAD3,SFMBT1,LDLR,CDK13,MTA1,ATRX,DMAC2L,ERBB2,PHF3,ATP2B1,PRDM2,GCNT1,NR1D2,ID1,PDLIM5,PDGFRB,FZD2,KALRN,DLG1,SCAF8,YTHDC1,MRPS31,EFEMP1,SDC2,CELF2,RBPMS,AGGF1,CITED2,RUNX1,COL1A1,COL11A1,COL1A2,COL3A1,SNAI2,MT1E,COL5A2"
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.45794422096092635,1.4108477729129743,0.015625,0.25480739116818035,87,49,"CD14,LEPR,PIM1,IL1R1,CNTFR,IL17RB,OSMR,CSF1,IL13RA1,ITGB3,A2M,TLR2,LTBR,IFNGR1,FAS,ACVR1B,STAT2,IL10RB,ACVRL1,IL6ST,TNFRSF12A,TGFB1,STAT3,STAT1,ITGA4,IRF9,PTPN1,STAM2,CBL,IFNAR1,EBI3,PTPN11,IL17RA,HMOX1,TNFRSF1A,MYD88,TYK2,CD44,IL3RA,HAX1,JUN,CD9,GRB2,PTPN2,BAK1,PDGFC,IRF1,IL1B,TNFRSF21"
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.36914678718038946,1.3606087322520422,0.042857143,0.31944879423739436,200,149,"PTGES,PEX11A,THSD4,PLAAT3,PODXL,CLIC3,SLC1A1,DYNLT3,RARA,BLVRB,SLC7A5,ABCA3,CXCL12,SYBU,GJA1,DHRS2,IL17RB,MYBL1,ABHD2,AREG,BHLHE40,GAB2,KLF4,CA12,HSPB8,ENDOD1,TMEM164,CALB2,INPP5F,OLFML3,LRIG1,SLC26A2,SYNGR1,PAPSS2,RAB31,PMAIP1,IGFBP4,KDM4B,SLC1A4,FARP1,NAV2,DHRS3,SVIL,ITPK1,SNX24,MREG,CELSR1,TGM2,SLC7A2,BCL11B,IL6ST,WWC1,RETREG1,ALDH3B1,UNC119,B4GALT1,MYOF,IGF1R,UGCG,TSKU,RASGRP1,TPBG,INHBB,STC2,MLPH,FLNB,WFS1,SLC19A2,KAZN,AR,FHL2,CCND1,SEMA3B,MPPED2,DLC1,ADD3,ABAT,AMFR,FRK,MAST4,SLC22A5,MED24,MAPT,SLC2A1,ZNF185,FDFT1,CANT1,ELOVL2,GREB1,ELOVL5,SH3BP5,KRT18,MYC,GLA,KRT8,ARL3,NXT1,NCOR2,SLC39A6,TBC1D30,MED13L,ADCY9,TIAM1,SEC14L2,NADSYN1,FASN,TFAP2C,CD44,KCNK5,AFF1,JAK2,SLC16A1,AKAP1,MYBBP1A,PPIF,NRIP1,REEP1,RBBP8,BAG1,DHCR7,ISG20L2,PDLIM3,KLF10,RRP12,TTC39A,SCARB1,TUBB2B,CELSR2,NHERF1,RHOBTB3,MICB,PRSS23,FOXC1,TGIF2,SLC27A2,PDZK1,ELF1,SFN,FKBP4,NBL1,HES1,FKBP5,ABLIM1,SLC37A1,BCL2,SIAH2,GFRA1,TPD52L1,KRT19"
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.4102975932294279,1.3381962208116112,0.1111111111111111,0.32696523645474473,97,76,"IFIT2,IFITM3,GBP4,IFITM2,USP18,CSF1,DHX58,TXNIP,ISG15,HLA-C,UBE2L6,IFIH1,IFI35,PSME1,PSME2,DDX60,TAP1,SAMD9,EIF2AK2,B2M,PARP12,TRIM21,STAT2,PSMB8,PSMB9,TENT5A,PLSCR1,GBP2,NMI,PROCR,RIPK2,PARP14,CD74,UBA7,LGALS3BP,IRF9,TRIM14,TDRD7,NCOA7,IFIT3,TRIM25,SP110,TRIM5,CD47,HELZ2,NUB1,GMPR,TRIM26,C1S,PARP9,CASP1,IRF2,CASP8,SAMD9L,PSMA3,OASL,PNPT1,SLC25A28,LAP3,ADAR,EPSTI1,MVB12A,CNP,MOV10,CMTR1,TRAFD1,BST2,RNF31,OGFR,WARS1,ISG20,HERC6,ELF1,IRF1,IFI44,IFI30"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.3475107522715793,1.3324897710609127,0.014285714285714285,0.29455057939242096,200,170,"MFAP5,SGCD,BDNF,ACTA2,IGFBP3,SLIT3,SGCB,SFRP1,DCN,TFPI2,FSTL3,PLAUR,ADAM12,TGFBR3,CXCL12,THBS2,OXTR,GJA1,MEST,ITGB3,AREG,EDIL3,FOXC2,SPOCK1,SNTB1,COL5A3,FAP,MATN2,NNMT,TIMP3,FBN2,FBLN5,SPP1,SLC6A8,FBN1,LGALS1,CCN1,VEGFC,EMP3,CAP2,DST,LOX,BASP1,FGF2,SERPINE1,IGFBP4,TIMP1,FAS,MAGEE1,ID2,LAMC2,SERPINE2,TNFAIP3,VCAN,CALU,THY1,LAMC1,TGM2,CDH11,DAB2,LRP1,ITGA5,RGS4,TNFRSF12A,COL4A1,TGFB1,COL6A2,LAMA3,COLGALT1,PTX3,ITGB5,SDC1,NT5E,PFN2,FERMT2,CDH6,POSTN,BMP1,VIM,CAPG,PLOD3,PVR,ITGA2,MYLK,PLOD2,NID2,COPA,GLIPR1,LOXL1,FLNA,SDC4,TNFRSF11B,ITGAV,COL4A2,PMEPA1,THBS1,FUCA1,ITGB1,SPARC,RHOB,PLOD1,ECM1,NOTCH2,CD59,LOXL2,MMP2,ENO2,PPIB,DKK1,WNT5A,P3H1,MMP14,CADM1,GAS1,WIPF1,TGFBI,QSOX1,IL32,SERPINH1,CD44,INHBA,JUN,FBLN1,COL7A1,EFEMP2,TNC,CCN2,FZD8,PDGFRB,COL5A1,PRRX1,MCM7,LRRC15,LAMA2,SLIT2,CALD1,GREM1,FSTL1,MYL9,MMP3,TAGLN,GPC1,PDLIM4,GPX7,NTM,COL12A1,IGFBP2,DPYSL3,COL1A1,TPM4,TPM2,VCAM1,COL11A1,COL1A2,COL3A1,SNAI2,TPM1,FN1,MATN3,COL16A1,LUM,PCOLCE,LAMA1,ANPEP,BGN,FBLN2,COL5A2,CTHRC1,COL6A3,MMP1"
HALLMARK_SPERMATOGENESIS,0.3910409818005721,1.3318278766867073,0.071428571,0.26558095834638273,135,65,"ACRBP,IL13RA2,PCSK1N,ADAD1,LPIN1,NEK2,POMC,HSPA2,MAP7,TSN,BRAF,AURKA,CFTR,CLGN,PGS1,VDAC3,RAD17,IP6K1,MAST2,STRBP,CSNK2A2,BUB1,NF2,STAM2,PGK2,DBF4,PHKG2,IFT88,CHFR,CDK1,MTOR,ZPBP,COIL,CCNB2,PRKAR2A,AGFG1,CAMK4,TALDO1,KIF2C,HSPA4L,PIAS2,GFI1,PSMG1,IDE,TUBA3C,RFC4,MLF1,HSPA1L,SIRT1,TTK,NCAPH,PARP2,EZH2,CDKN3,SLC12A2,TOPBP1,PEBP1,ZC3H14,CLPB,TLE4,MLLT10,YBX2,JAM3,GSTM3,ALOX15"
HALLMARK_FATTY_ACID_METABOLISM,0.3347932510303812,1.277410333738401,0.080645161,0.34049483244597556,158,128,"BMPR1B,ALDH1A1,CIDEA,MAOA,TP53INP2,SDHC,ACO2,MGLL,CPT1A,BLVRA,ETFDH,OSTC,UBE2L6,ME1,GRHPR,ACADS,LGALS1,PSME1,HMGCL,PTPRG,CRAT,HSD17B11,NSDHL,GPD2,UGDH,BCKDHB,SERINC1,SDHD,BPHL,UROS,NBN,HSD17B4,EHHADH,IDH1,MLYCD,DECR1,ACOT2,ECI1,HMGCS1,HADHB,ACSS1,CRYZ,ALDH3A2,ACAT2,SUCLG1,SUCLA2,ALAD,ACOX1,LDHA,KMT5A,SUCLG2,SMS,NTHL1,ACOT8,ALDH9A1,ACADVL,SDHA,ODC1,ECHS1,ACSL4,S100A10,ACADL,CPT2,MCEE,MDH2,EPHX1,VNN1,ECH1,RAP1GDS1,HIBCH,ECI2,ACADM,ENO3,SLC22A5,MDH1,HSD17B10,CBR1,D2HGDH,IDH3B,CPOX,AUH,ELOVL5,HSDL2,METAP1,PDHA1,CA2,ENO2,ACAA2,IDI1,ACAA1,PTS,YWHAH,PDHB,MIX23,DHCR24,FASN,MIF,ALDH3A1,NCAPH2,UROD,IDH3G,HSP90AA1,RETSAT,GSTZ1,HSD17B7,HCCS,ACSL1,FH,DLD,ADSL,PCBD1,IL4I1,RDH11,CBR3,ERP29,ALDOA,HADH,PRDX6,DLST,HSPH1,H2AZ1,ADIPOR2,GCDH,REEP6,APEX1,GLUL,AADAT,ACSL5"
HALLMARK_PROTEIN_SECRETION,0.352141447,1.2492353302066503,0.1,0.3884634000512484,96,93,"PAM,ABCA1,ATP7A,SGMS1,CLN5,CAV2,MON2,SNX2,LAMP2,VAMP4,DST,CD63,STX12,ARF1,USO1,ADAM10,STX7,AP3B1,ARFGEF1,AP2B1,GNAS,OCRL,AP2M1,TMX1,GBF1,AP1G1,SEC22B,AP2S1,YIPF6,ARFIP1,RAB22A,SNAP23,SCAMP1,COG2,VPS45,RAB9A,LMAN1,STAM,STX16,CLCN3,BET1,SEC31A,TOM1L1,TSG101,VAMP7,DNM1L,ARFGEF2,SEC24D,ATP6V1H,MAPK1,COPE,ICA1,CLTC,GOSR2,DOP1A,KIF1B,AP3S1,COPB1,BNIP3,TMED2,ERGIC3,RER1,RAB14,RAB5A,ARFGAP3,YKT6,COPB2,PPT1,NAPA,VPS4B,GALC,TMED10,RPS6KA3,KRT18,GOLGA4,GLA,RAB2A,IGF2R,VAMP3,ARCN1,SOD1,SCAMP3,EGFR,NAPG,ZW10,CTSC,SH3GL2,ATP1A1,SCRN1,M6PR,CLTA,ANP32E,TPD52"
