Term,es,nes,pval,fdr,geneset_size,matched_size,genes
HALLMARK_IL2_STAT5_SIGNALING,0.39808186377116744,1.4188913969063401,0.04878048780487805,0.24270163285502228,199,38,"TNFRSF8,CD86,MUC1,ANXA4,IFITM3,PLEC,ALCAM,PLSCR1,AHNAK,SERPINB6,CA2,EEF1AKMT1,SH3BGRL2,FURIN,PHLDA1,CKAP4,PIM1,CTSZ,SNX9,GSTO1,PTRH2,RABGAP1L,SLC1A5,ITGAV,MYO1E,MYO1C,RHOB,IGF2R,SYNGR2,UMPS,CASP3,UCK2,FAH,PNP,IRF4,IRF6,BCL2,CD79B"
HALLMARK_XENOBIOTIC_METABOLISM,0.3792575949134565,1.4552643290784921,0.057692307692307696,0.24314695695200397,200,52,"TMEM176B,AKR1C2,AKR1C3,UGDH,NQO1,NDRG2,CES1,BCAT1,PYCR1,ABCC3,CDA,TPST1,CA2,IDH1,PDLIM5,HMOX1,BLVRB,SPINT2,PGRMC1,DDAH2,PTGR1,GSR,GSTO1,POR,SLC6A6,ALDH2,GSTA3,SLC1A5,FAS,ASL,ACOX1,CBR1,BCAR1,ACP2,ATP2A2,GSS,COMT,ALDH9A1,SAR1B,SHMT2,CAT,PSMB10,FAH,DHRS1,ARG2,VTN,CYP27A1,RAP1GAP,ACOX3,CYFIP2,ADH7,F10"
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.47468617558410814,1.52960684640638,0.057692307692307696,0.24492825333993073,49,19,"NQO1,LSP1,CDKN2D,SRXN1,FTL,MBP,PDLIM1,TXNRD1,GSR,HMOX2,GCLM,G6PD,PRDX1,LAMTOR5,PRDX4,OXSR1,CAT,MSRA,PRDX2"
HALLMARK_MYOGENESIS,0.43209568238237855,1.6633884317561283,0.025,0.25383473527956457,200,40,"SOD3,SPARC,CSRP3,NQO1,LSP1,ITGA7,CLU,ITGB1,CAMK2B,TAGLN,DES,ABLIM1,IGFBP7,TPM2,SCD,ACTN2,TPD52L1,SPTAN1,PLXNB2,MYO1C,APP,GSN,SYNGR2,ATP6AP1,TPM3,PFKM,CNN3,EIF4A2,RB1,DMD,GABARAPL2,KCNH1,LPIN1,LAMA2,MEF2D,DTNA,FGF2,SORBS1,APOD,PVALB"
HALLMARK_APOPTOSIS,0.3533060759585346,1.3933537379250462,0.10526315789473684,0.2538347352795646,161,44,"PDGFRB,CDKN1B,CLU,SQSTM1,KRT18,ATF3,LMNA,ANXA1,BRCA1,IFITM3,MGMT,HMOX1,LGALS3,HSPB1,PEA15,FDXR,GSR,SPTAN1,TIMP1,FAS,ROCK1,RHOB,IGF2R,APP,GSN,BCL10,VDAC2,PPT1,DIABLO,DFFA,DPYD,DNM1L,CASP3,BID,CASP1,CDK2,HMGB2,ENO2,PDCD4,F2,LEF1,TGFBR3,BCL2L11,NEFH"
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3994865476690671,1.3765111519963413,0.09615384615384616,0.25550470064324593,97,27,"IFI27,OAS1,PROCR,LGALS3BP,IFITM3,EPSTI1,PLSCR1,ISG15,BST2,CXCL11,NMI,EIF2AK2,TRIM21,MOV10,LAP3,PNPT1,TRAFD1,IFI35,UBE2L6,ELF1,PSMB9,STAT2,CASP1,SAMD9,PSMB8,IFI44L,CD74"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.38532433744540234,1.5627628540922307,0.0,0.26051459673428995,200,57,"VCAM1,PDGFRB,LOX,SPARC,SLIT2,CTHRC1,NNMT,ITGB1,FBN1,VIM,TAGLN,THBS2,PDLIM4,CDH2,CALU,ABI3BP,TPM2,BASP1,LAMA3,CALD1,LOXL2,QSOX1,COL12A1,ITGB3,DAB2,TPM1,ITGA5,P3H1,TIMP1,FLNA,FERMT2,ITGAV,FAS,TPM4,RHOB,COLGALT1,LRP1,NOTCH2,COL5A2,DST,PPIB,LAMA1,SDC1,CADM1,WIPF1,ENO2,ANPEP,LAMA2,ITGA2,IGFBP2,EDIL3,FGF2,CCN2,TGFBR3,CRLF1,GPX7,CDH11"
HALLMARK_UV_RESPONSE_DN,0.3839869679758994,1.462007197189547,0.05454545454545454,0.2939139040079169,144,40,"PDGFRB,CDKN1B,ANXA2,RXRA,ANXA4,F3,FHL2,DDAH1,MGMT,PDLIM5,IRS1,ITGB3,DAB2,ADGRL2,SRI,MET,LDLR,RND3,CDK13,SYNE1,TJP1,NOTCH2,COL5A2,SCAF8,MRPS31,YTHDC1,CDC42BPA,ADD3,MTA1,MAPK14,CDON,NIPBL,DMAC2L,MIOS,RUNX1,CELF2,SDC2,KIT,SIPA1L1,TGFBR3"
HALLMARK_FATTY_ACID_METABOLISM,0.33182578807327845,1.314617808094185,0.08,0.33250865907966354,158,49,"GPD1,IL4I1,ALDH1A1,UGDH,PCBD1,S100A10,CRYZ,CA2,IDH1,ACSL5,ECI1,HAO2,ACOT2,FASN,ACADL,ME1,ECHS1,ACSL4,SUCLG2,EHHADH,ACOX1,HSDL2,SERINC1,CBR1,GRHPR,CBR3,ERP29,METAP1,MDH2,BLVRA,HADHB,SUCLG1,NBN,DLD,HIBCH,PDHA1,ALDH9A1,APEX1,CPT2,SDHA,ALAD,HSD17B11,ADSL,GCDH,UBE2L6,HADH,ENO2,HSD17B7,ADH7"
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.4334115826379261,1.273661728095874,0.0975609756097561,0.36605640771895104,87,15,"IL17RA,DNTT,STAM2,OSMR,HMOX1,ITGB3,PIM1,CXCL11,FAS,STAT1,STAT3,TYK2,PTPN2,STAT2,CRLF2"
HALLMARK_APICAL_JUNCTION,0.3022571820456416,1.2049900059109953,0.1836734693877551,0.4906661868561918,200,56,"CD86,CLDN6,VCAM1,SLIT2,ITGB1,FBN1,ITGA3,CD274,VCL,ZYX,LAMA3,MDK,ICAM1,ADAM9,ACTN2,LIMA1,IRS1,ACTN4,RHOF,PARVA,NF2,NEXN,RRAS,EPB41L2,IKBKG,NECTIN2,STX4,BAIAP2,MPZL1,CNN2,CAP1,HRAS,WASL,TJP1,VASP,DHX16,SYMPK,GNAI2,MAPK14,HADH,SIRPA,ARHGEF6,MSN,EVL,NECTIN1,ITGA2,ATP1A3,GAMT,LAMB3,TUBG1,DSC3,NECTIN4,RAC2,SYK,PECAM1,CDH11"
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.2874023453461222,1.1389418047443742,0.24528301886792453,0.5014349332013854,200,49,"CD86,VCAM1,IFI27,IRF5,CD274,LGALS3BP,IFITM3,MVP,EPSTI1,PLSCR1,ISG15,IFIT1,ICAM1,OAS3,BST2,SRI,PIM1,CXCL11,NMI,FAS,EIF2AK2,STAT1,TRIM21,ARID5B,LAP3,MTHFD2,PNPT1,STAT3,TRAFD1,PTPN2,TAPBP,CASP3,IFI35,PSMB10,UBE2L6,PSMB9,STAT2,CASP1,PNP,PSMB8,CIITA,IRF4,IFI44L,PTPN6,CD74,LCP2,ZBP1,GBP6,SLAMF7"
