protein,mean_orig,mean_ko,diff
ARID2,-0.096135974,-1.3040277,-1.2078917
BRD7,0.028488383,-1.0826098,-1.1110982
SMARCA4,0.013309646,-1.0862427,-1.0995523
MBD3,0.06856988,-0.8692492,-0.9378191
CHD3,0.11709064,-0.76597035,-0.883061
SMARCD1,-0.057206683,-0.9274282,-0.8702215
SMARCC2,0.003182742,-0.85798967,-0.86117244
SMARCE1,-0.023284467,-0.87863517,-0.8553507
SMARCB1,-0.07323052,-0.92018014,-0.84694964
JPH1,0.011294805,-0.8311564,-0.84245116
ACTL6A,-0.11469481,-0.9251859,-0.8104911
RAD21,-0.07376645,-0.88119507,-0.8074286
BRD3,-0.114951886,-0.9077073,-0.79275537
SMARCC1,-0.03852072,-0.81251174,-0.77399105
RBBP5,-0.008084481,-0.7804879,-0.7724034
FADS1,0.13351147,-0.6291741,-0.7626856
TBCEL,0.086269125,-0.67154527,-0.7578144
INTS1,0.10509789,-0.6497013,-0.7547992
DDC,0.08059386,-0.67411864,-0.7547125
RBM10,0.010148648,-0.7434181,-0.75356674
BANP,0.012021864,-0.73630273,-0.7483246
SMC1A,-0.13866462,-0.8806763,-0.7420117
ASB6,0.023838302,-0.71065724,-0.7344955
EHMT2,-0.09181493,-0.82483727,-0.73302233
GOLGA6L7,-0.02244532,-0.75400394,-0.7315586
SPIN1,0.037075866,-0.6919382,-0.7290141
INTS3,0.13093485,-0.59398824,-0.7249231
CDK5RAP3,0.14623764,-0.5770694,-0.723307
TGM3,0.14611812,-0.5763446,-0.7224627
PCNT,0.000527539,-0.7199039,-0.72043145
UBTF,-0.11796295,-0.8379719,-0.72000897
SIN3A,0.028444586,-0.6751268,-0.7035714
SV2A,0.06300362,-0.6362826,-0.6992862
RBMXL1,0.048591506,-0.64895296,-0.69754446
CTNNAL1,0.04951056,-0.64725035,-0.6967609
BCL11B,0.04408807,-0.64909446,-0.6931825
SMC3,-0.14998116,-0.8431321,-0.69315094
PPHLN1,-0.025354639,-0.71467847,-0.68932384
WDR81,-0.10799376,-0.7967079,-0.68871415
H1-4,-0.016710961,-0.7030294,-0.68631846
CGGBP1,0.023238733,-0.65531945,-0.6785582
FDFT1,0.10293364,-0.5679504,-0.6708841
SYNE2,0.069441535,-0.59783727,-0.6672788
JMJD7,0.0385537,-0.62164,-0.66019374
ATP2B1,0.11331997,-0.5463567,-0.6596767
DNMT3A,-0.025299257,-0.6847704,-0.65947115
GLUL,0.13438588,-0.52468,-0.6590659
DDX23,-0.09466428,-0.75161546,-0.6569512
EHMT1,-0.033489943,-0.6849352,-0.65144527
CORO2A,0.053839263,-0.5898205,-0.6436598
SMARCD2,-0.0423296,-0.6853394,-0.6430098
BEND3,0.029943323,-0.6113121,-0.64125544
SMARCA5,-0.13693261,-0.7750413,-0.6381087
ATAD5,-0.03806535,-0.67588365,-0.6378183
SMU1,0.003586718,-0.6331417,-0.6367284
POMT2,0.027428033,-0.6089345,-0.63636255
NT5DC2,0.026842173,-0.6084656,-0.6353078
FUBP3,0.03705723,-0.5967245,-0.63378173
NNT,-0.02064251,-0.6538966,-0.63325405
WDR82,-0.08556166,-0.7173802,-0.63181853
H4C1;H4C2;H4C3;H4C4;H4C5;H4C6;H4C8;H4C9;H4C11;H4C12;H4C13;H4C14;H4C15;H4-16,-0.026569633,-0.6570315,-0.6304619
GPX7,-0.043676127,-0.6729678,-0.62929165
CDK2AP1,0.012466174,-0.61593723,-0.6284034
TFAP4,0.01865387,-0.6085123,-0.62716615
POLR2A,-0.08484964,-0.7110739,-0.6262242
ACAD10,0.010663467,-0.6135457,-0.62420917
NFRKB,0.002760746,-0.6185668,-0.6213276
RAB23,0.1262301,-0.4936316,-0.6198617
ASB7,0.045799896,-0.57057405,-0.61637396
CHRAC1,-0.0327388,-0.648875,-0.6161362
MTOR,0.13656439,-0.47939488,-0.6159593
CMAS,0.08587212,-0.52964014,-0.61551225
NSD3,-0.001918944,-0.6173192,-0.61540025
DIABLO,0.070137896,-0.5443734,-0.6145113
