,protein,mean_orig,mean_ko,diff,p_value
0,ARID2,-0.096135974,-1.3040277,-1.2078917,7.747267168358756e-33
1,BRD7,0.028488383,-1.0826098,-1.1110982,3.429033374830671e-27
2,SMARCA4,0.0133096455,-1.0862427,-1.0995523,1.3046202902497848e-27
3,MBD3,0.06856988,-0.8692492,-0.9378191,2.139049482939825e-22
4,CHD3,0.11709064,-0.76597035,-0.883061,1.766714556378682e-21
5,SMARCD1,-0.057206683,-0.9274282,-0.8702215,2.0612552535183347e-19
6,SMARCC2,0.0031827416,-0.85798967,-0.86117244,1.2242560990099745e-19
7,SMARCE1,-0.023284467,-0.87863517,-0.8553507,3.013545059371202e-19
8,SMARCB1,-0.07323052,-0.92018014,-0.84694964,6.9483343786675905e-22
9,JPH1,0.0112948045,-0.8311564,-0.84245116,3.0540967295656783e-19
10,ACTL6A,-0.11469481,-0.9251859,-0.8104911,2.2135707395729775e-20
11,RAD21,-0.07376645,-0.88119507,-0.8074286,4.322983144166669e-17
12,BRD3,-0.114951886,-0.9077073,-0.79275537,3.1901422160672576e-15
13,SMARCC1,-0.03852072,-0.81251174,-0.77399105,1.359528316030928e-16
14,RBBP5,-0.008084481,-0.7804879,-0.7724034,6.3010546766714385e-15
15,FADS1,0.13351147,-0.6291741,-0.7626856,5.4007460330540167e-17
16,TBCEL,0.086269125,-0.67154527,-0.7578144,8.430359292670406e-16
17,INTS1,0.10509789,-0.6497013,-0.7547992,4.153505935716791e-16
18,DDC,0.08059386,-0.67411864,-0.7547125,1.3906649739328547e-14
19,RBM10,0.010148648,-0.7434181,-0.75356674,2.373111564384337e-16
20,BANP,0.012021864,-0.73630273,-0.7483246,5.449412265098552e-16
21,SMC1A,-0.13866462,-0.8806763,-0.7420117,6.004612525578254e-15
22,ASB6,0.023838302,-0.71065724,-0.7344955,2.340252980696098e-16
23,EHMT2,-0.09181493,-0.82483727,-0.73302233,3.5933252831521705e-16
24,GOLGA6L7,-0.02244532,-0.75400394,-0.7315586,2.6584325909943042e-14
25,SPIN1,0.037075866,-0.6919382,-0.7290141,1.1885240317161157e-14
26,INTS3,0.13093485,-0.59398824,-0.7249231,2.5594081670207175e-16
27,CDK5RAP3,0.14623764,-0.5770694,-0.723307,3.4053537700387107e-13
28,TGM3,0.14611812,-0.5763446,-0.7224627,1.0430586501141331e-14
29,PCNT,0.00052753923,-0.7199039,-0.72043145,1.1281400459455771e-13
30,UBTF,-0.11796295,-0.8379719,-0.72000897,7.803915697420662e-15
31,SIN3A,0.028444586,-0.6751268,-0.7035714,4.291278735793579e-16
32,SV2A,0.06300362,-0.6362826,-0.6992862,1.57673486340143e-12
33,RBMXL1,0.048591506,-0.64895296,-0.69754446,1.7049432710252945e-13
34,CTNNAL1,0.04951056,-0.64725035,-0.6967609,2.3197699042281865e-14
35,BCL11B,0.04408807,-0.64909446,-0.6931825,7.641917115704554e-14
36,SMC3,-0.14998116,-0.8431321,-0.69315094,1.1897290300705972e-13
37,PPHLN1,-0.025354639,-0.71467847,-0.68932384,8.125723770664386e-13
38,WDR81,-0.10799376,-0.7967079,-0.68871415,1.0377863216312815e-16
39,H1-4,-0.016710961,-0.7030294,-0.68631846,8.517518655702238e-15
40,CGGBP1,0.023238733,-0.65531945,-0.6785582,9.119673153313955e-13
41,FDFT1,0.10293364,-0.5679504,-0.6708841,1.9791548411984502e-13
42,SYNE2,0.069441535,-0.59783727,-0.6672788,3.4417071814297373e-13
43,JMJD7,0.0385537,-0.62164,-0.66019374,4.6451923893729084e-14
44,ATP2B1,0.11331997,-0.5463567,-0.6596767,1.2458421635781684e-13
45,DNMT3A,-0.025299257,-0.6847704,-0.65947115,5.794921521592976e-14
46,GLUL,0.13438588,-0.52468,-0.6590659,1.0063849528856636e-11
47,DDX23,-0.09466428,-0.75161546,-0.6569512,1.0669343189784135e-11
48,EHMT1,-0.033489943,-0.6849352,-0.65144527,1.474100906889609e-12
49,CORO2A,0.053839263,-0.5898205,-0.6436598,2.394409689132155e-12
50,SMARCD2,-0.0423296,-0.6853394,-0.6430098,1.644735296994966e-12
51,BEND3,0.029943323,-0.6113121,-0.64125544,2.0178742716796997e-12
52,SMARCA5,-0.13693261,-0.7750413,-0.6381087,2.5585330013570226e-11
53,ATAD5,-0.03806535,-0.67588365,-0.6378183,2.4050205011769164e-13
54,SMU1,0.003586718,-0.6331417,-0.6367284,1.2641770763463927e-10
55,POMT2,0.027428033,-0.6089345,-0.63636255,8.778265142813195e-13
56,NT5DC2,0.026842173,-0.6084656,-0.6353078,1.833339243855857e-12
57,FUBP3,0.03705723,-0.5967245,-0.63378173,4.246715211895767e-11
58,NNT,-0.02064251,-0.6538966,-0.63325405,1.03922503353706e-12
59,WDR82,-0.08556166,-0.7173802,-0.63181853,4.505673957131837e-11
60,H4C1;H4C2;H4C3;H4C4;H4C5;H4C6;H4C8;H4C9;H4C11;H4C12;H4C13;H4C14;H4C15;H4-16,-0.026569633,-0.6570315,-0.6304619,4.025956198722383e-11
61,GPX7,-0.043676127,-0.6729678,-0.62929165,4.0499955595147805e-12
62,CDK2AP1,0.012466174,-0.61593723,-0.6284034,9.573687187286468e-12
63,TFAP4,0.01865387,-0.6085123,-0.62716615,1.0663343569637962e-11
64,POLR2A,-0.08484964,-0.7110739,-0.6262242,5.249031882445523e-11
65,ACAD10,0.0106634665,-0.6135457,-0.62420917,4.547165169403996e-13
66,NFRKB,0.0027607463,-0.6185668,-0.6213276,2.8296416895645632e-11
67,RAB23,0.1262301,-0.4936316,-0.6198617,2.97123608017661e-11
68,ASB7,0.045799896,-0.57057405,-0.61637396,2.0983497070958947e-13
69,CHRAC1,-0.0327388,-0.648875,-0.6161362,2.2503364926308006e-09
70,MTOR,0.13656439,-0.47939488,-0.6159593,6.74788544382114e-13
71,CMAS,0.08587212,-0.52964014,-0.61551225,5.291582142646886e-11
72,NSD3,-0.001918944,-0.6173192,-0.61540025,2.2977530256967456e-13
73,DIABLO,0.070137896,-0.5443734,-0.6145113,4.3410431811508233e-10
74,THNSL1,0.10572201,-0.508051,-0.613773,6.13941164955381e-11
75,SHMT2,-0.090341985,-0.7028431,-0.61250114,2.2562151369515643e-11
76,MTERF4,0.09020927,-0.5222721,-0.61248136,7.96680651193423e-11
77,LCOR,0.15537623,-0.45553428,-0.61091053,1.8981927860587992e-10
78,SFXN2,-0.028924398,-0.63805044,-0.60912603,3.511426741995976e-11
79,STAG2,-0.0019853234,-0.6094288,-0.6074435,1.131981391319273e-10
80,CTDSPL2,-0.031740554,-0.6384607,-0.60672015,1.3587786674444478e-11
81,HNRNPR,-0.068137325,-0.67461133,-0.606474,2.5527343086229406e-11
82,CDKN2AIP,0.0042289575,-0.59620464,-0.6004336,2.360542692128905e-10
83,MAN2C1,0.05557071,-0.5447719,-0.60034263,9.494173111119667e-12
84,HNRNPDL,-0.08645286,-0.68670964,-0.6002568,8.511565208737277e-11
85,STXBP5,0.04707247,-0.55270284,-0.5997753,2.9007176307843007e-11
86,SNRPD1,-0.029716924,-0.62915725,-0.59944034,4.338097508026255e-11
87,ILF3,-0.06427955,-0.663694,-0.59941447,8.71501602824563e-12
88,RBM12B,0.039496634,-0.5522427,-0.59173936,2.2318301278357685e-12
89,ZMYND11,0.16104089,-0.43021598,-0.59125686,6.628588030564939e-10
90,MAP4K5,0.069029875,-0.5218922,-0.59092206,1.0595401839032337e-09
91,TASOR,0.0731995,-0.5172274,-0.5904269,2.4605390110298248e-12
92,SUDS3,0.007747249,-0.5816389,-0.5893861,9.379413923868054e-10
93,RPP25L,-0.006749935,-0.59352,-0.58677006,2.94722977978687e-10
94,WASF1,0.01214959,-0.5742726,-0.58642215,3.36263711082237e-11
95,NIPBL,-0.040618125,-0.6267111,-0.58609295,5.560484876196369e-10
96,HNRNPH3,-0.0020337978,-0.58629674,-0.58426297,9.866594108631958e-11
97,CBX8,-0.09353029,-0.6766105,-0.58308023,2.3206140024164373e-10
98,MTA2,-0.16003191,-0.7421639,-0.582132,3.0361235427023785e-09
99,KHDRBS3,0.06686577,-0.5149305,-0.5817963,6.688622099417294e-10
100,TRMT2B,-0.04724619,-0.6289304,-0.5816842,8.727869455248917e-11
101,ING1,0.023668455,-0.5571848,-0.5808533,1.8521213573804328e-11
102,H1-10,0.072729364,-0.5075168,-0.58024615,2.4554341234740287e-11
103,DHRS13,-0.010770247,-0.5909706,-0.5802003,2.541749948407672e-10
104,FOXA1,0.069668785,-0.507742,-0.57741076,7.256831619240636e-10
105,SYNCRIP,-0.054131866,-0.63105685,-0.576925,1.3885178581323369e-09
106,FAM186A,-0.025526715,-0.6011959,-0.57566917,6.941577020995234e-11
107,KAT7,-0.06925256,-0.6439929,-0.57474035,1.7358664579502078e-09
108,IFT140,-0.036471672,-0.60738724,-0.5709156,1.032518073578859e-11
109,MYO1D,0.092746444,-0.47814327,-0.5708897,1.680739021210377e-09
110,SUPT6H,-0.04082271,-0.6114049,-0.5705822,2.565467105620199e-10
111,LONP2,-0.035942953,-0.60539824,-0.56945527,5.380598188731976e-10
112,SACM1L,-0.06959222,-0.6384941,-0.56890184,1.1980852295583648e-09
113,CTR9,-0.008117521,-0.5762869,-0.5681694,3.0846754978996495e-10
114,SBF1,-0.005592995,-0.573604,-0.568011,9.835403585777517e-10
115,USP11,-0.023264233,-0.5910096,-0.5677454,6.799228559764107e-11
116,SIM2,0.0984577,-0.46911684,-0.56757456,5.299780568274226e-09
117,PRKAA2,-0.01083538,-0.5783764,-0.567541,5.23767986576073e-12
118,STK32C,0.08144915,-0.48473668,-0.56618583,7.1288316918027425e-09
119,PRPF4,0.010632708,-0.5544268,-0.5650595,5.631842563404618e-09
120,NRP2,0.062293224,-0.50223386,-0.5645271,7.915929506584056e-10
121,POGZ,-0.019462908,-0.58313227,-0.5636694,6.353106436187836e-10
122,VRK1,-0.05009956,-0.6117232,-0.56162363,3.088324569046869e-09
