,pathways,diff_copy
0,allograft_rejection,-0.074809116
1,apoptosis,0.053992206
2,bile_acid_metabolism,0.082259478
3,cholesterol_homeostasis,0.051105884
4,coagulation,0.045440971
5,dna_repair,-0.026039759
6,e2f_targets,-0.051201665
7,emt,0.143742352
8,fatty_acid_metabolism,0.178806703
9,g2m_checkpoint,-0.042052626
10,heme_metabolism,0.097915976
11,il2_stat5_signalling,0.2046621
12,interferon_gamma_response,0.058330206
13,myc_targets,-0.011483302
14,myogenesis,0.109938211
15,tnfa_via_nfkb,0.095280814
16,xenobiotic_metabolism,0.166428672
